index,CountryName,sucideandgdp,color_change
0,AfghanistanSuicideRate,4.7,0
1,AfghanistanGDP,0.5472281102000001,1
2,Afghanistan_1SuicideRate,4.7,0
3,Afghanistan_1GDP,0.5472281102000001,1
4,AngolaSuicideRate,4.7,0
5,AngolaGDP,3.506072885,1
6,AlbaniaSuicideRate,6.3,0
7,AlbaniaGDP,4.124108543,1
8,United Arab EmiratesSuicideRate,2.8,0
9,United Arab EmiratesGDP,38.14184676,1
10,ArgentinaSuicideRate,9.2,0
11,ArgentinaGDP,12.79024247,1
12,ArmeniaSuicideRate,6.6,0
13,ArmeniaGDP,3.591829276,1
14,Antigua and BarbudaSuicideRate,0.5,0
15,Antigua and BarbudaGDP,15.494305469999999,1
16,AustraliaSuicideRate,13.2,0
17,AustraliaGDP,50.019967769999994,1
18,AustriaSuicideRate,15.6,0
19,AustriaGDP,45.103329810000005,1
20,AzerbaijanSuicideRate,2.6,0
21,AzerbaijanGDP,3.8807387310000006,1
22,BurundiSuicideRate,9.1,0
23,BurundiGDP,0.28214968149999997,1
24,BelgiumSuicideRate,20.7,0
25,BelgiumGDP,41.44909736,1
26,BeninSuicideRate,9.9,0
27,BeninGDP,0.7885491965,1
28,Burkina FasoSuicideRate,7.7,0
29,Burkina FasoGDP,0.5838326203,1
30,BangladeshSuicideRate,5.9,0
31,BangladeshGDP,1.4016206279999999,1
32,BulgariaSuicideRate,11.5,0
33,BulgariaGDP,7.4694556379999995,1
34,BahrainSuicideRate,5.9,0
35,BahrainGDP,22.61911667,1
36,Bosnia and HerzegovinaSuicideRate,8.8,0
37,Bosnia and HerzegovinaGDP,4.99468314,1
38,BelarusSuicideRate,26.2,0
39,BelarusGDP,5.022626643,1
40,BelizeSuicideRate,4.7,0
41,BelizeGDP,4.904034338000001,1
42,BrazilSuicideRate,6.5,0
43,BrazilGDP,8.712887043999999,1
44,BarbadosSuicideRate,0.8,0
45,BarbadosGDP,15.847142719999997,1
46,Brunei DarussalamSuicideRate,4.6,0
47,Brunei DarussalamGDP,27.15734623,1
48,BhutanSuicideRate,11.4,0
49,BhutanGDP,3.012961401,1
50,BotswanaSuicideRate,9.3,0
